"observation_id";"sso_name";"ra_deg_1";"dec_deg_1";"ra_deg_2";"dec_deg_2";"filter";"xmatch_type";"v_mag_1";"v_mag_1_corrected";"mlim_obs"
"0302581901";Rika;181.59842;-8.779445;181.66862;-8.789769;L;2;19.14;20.6242;19.969559
"0658400601";"2000 GF48";194.32544;1.7477932;194.35295;1.7411907;L;4;17.28;18.7642;20.148449
"0811022601";Feinberg;83.67533;21.926546;83.74398;21.923782;L;2;19.62;21.1042;20.0327
"0128531201";"2000 GV72";74.13671;20.341475;74.22982;20.364086;L;4;19.4;20.8842;20.513712
"0674660201";"1981 EW33";180.53853;-3.6020617;180.56845;-3.6136775;L;2;20.33;21.8142;20.314743
"0149170701";"1987 QD";194.85904;16.52216;194.8861;16.510313;L;4;18.55;20.0342;20.351885
"0740920401";"1993 RY7";189.78522;-5.419997;189.86024;-5.4549246;L;2;19.95;21.4342;19.441216
"0763100101";Billgray;272.22958;-26.35655;272.63208;-26.225842;L;2;19.42;20.9042;20.521885
"0694640101";"1999 WV3";266.0782;-29.50104;266.23297;-29.469086;L;2;18.12;19.6042;20.030973
"0303561101";Ahmed;134.63998;17.11806;134.65111;17.115206;L;2;19.9;21.3842;20.150276
"0203850201";"1981 ET34";278.77045;-7.6540136;278.87457;-7.677327;L;2;18.1;19.5842;20.325838
"0720252101";Le Procope;330.48282;-9.740157;330.54068;-9.7197075;L;2;18.53;20.0142;19.916737
"0691660501";"1989 EN5";66.82804;26.223293;66.90395;26.243168;L;2;18.98;20.4642;20.225164
"0801683501";"1991 VQ1";267.9454;-29.261082;268.08115;-29.263638;L;4;17.77;19.2542;20.196384
