sso_name,observation_id,n,x_type,ra1,dec_1,ra2,dec2
1999 AN25,0670880401,2,2.0,343.2715949583333,11.463894666666667,343.5867534166667,11.573908972222222
1997 AD,0760350301,2,2.0,345.7210749166668,8.827498888888888,345.81654933333346,8.811013611111111
2000 BJ4,0502430101,2,2.0,197.67582795833331,-5.8486016111111105,197.81082370833332,-5.93855275
Vanavara,0206060201,2,2.0,144.86998425,14.974761944444445,144.96598291666666,14.948396805555555
2001 UY127,0810600201,2,2.0,50.2470725,-1.1583120555555555,50.30279604166667,-1.0268539444444444
2001 AG18,0830191001,2,4.0,197.10864495833334,-23.29220027777778,197.29943720833333,-23.30699
Vermeer,0137550501,2,2.0,83.65883033333334,21.96132227777778,83.72975341666665,21.956731222222224
1997 AS7,0653040101,2,2.0,117.79315387499997,17.637044,117.9725169583333,17.616479388888884
Kazo,0402750301,2,2.0,35.18939329166667,19.843587083333333,35.319943875,19.906956972222222
1998 QN30,0164570401,2,2.0,229.01411575,-16.056402416666668,229.292973625,-16.14343586111111
Kiyosato,0202730101,2,4.0,155.414775,21.64732233333333,155.5115943333333,21.58226161111111
2001 BQ61,0205670101,2,2.0,73.25336833333334,-2.8586623888888885,73.45941295833335,-3.0321469722222223
Wubbena,0748190101,2,2.0,28.992861875,5.590003194444443,29.118370291666675,5.645060694444445
