"observation_id";"sso_name";"ra_deg_1";"dec_deg_1";"ra_deg_2";"dec_deg_2";"filter";"xmatch_type"
"0601390201";"1998 QT82";310.97482;-10.800596;311.13797;-10.80435;V;2
"0555870201";"1999 RC178";151.85258;12.40812;152.06038;12.336806;V;2
"0727761201";"1999 SC11";283.88;-38.053284;284.001;-37.98355;V;2
"0136550101";"2001 FS67";186.90591;2.1607172;187.16298;2.021919;V;2
"0555870201";"2001 FY128";152.16626;12.316715;152.44795;12.240269;V;2
"0764010101";"2001 FV143";342.15417;-19.328154;342.4981;-19.027014;V;3
"0601600101";"2001 FL159";221.21426;-20.891808;221.32872;-20.968973;V;2
"0302380401";"2001 QJ282";334.98914;-27.898771;335.0682;-27.84288;V;4
"0165971601";"2001 SJ228";284.0117;-38.04896;284.1026;-37.99166;V;2
"0165971701";"2001 SJ228";284.10565;-37.98995;284.21252;-37.93547;V;2
"0782010101";"2002 RH134";20.517773;0.9338031;20.821598;1.0928316;V;3
"0790860101";"2002 TG120";147.16725;0.31865656;147.41653;0.15118064;V;4
"0744490501";"2002 WC";339.1585;-12.570767;339.31903;-12.424459;V;2
"0502050201";"2003 BT19";183.40607;14.086403;183.47675;14.098211;V;2
"0748190101";"2003 UB66";28.871744;5.344699;28.9849;5.47506;V;2
"0762520301";"2003 UT144";135.855;15.358702;136.04626;15.254044;V;2
"0723801701";"2004 CH92";350.96228;-12.385406;351.47372;-12.222424;V;2
"0830191201";"2004 SB58";340.68896;-16.968573;340.8632;-16.929682;V;4
"0206740101";"2005 GM123";39.60606;16.603083;39.64193;16.62314;V;2
"0728990101";"1999 JC15";123.398895;25.721653;123.65537;25.762888;V;2
"0780760201";"2004 FZ15";42.043217;42.458874;42.350216;42.45035;V;4
"0820460101";"2004 FC127";178.10356;3.9557896;178.14339;3.9442863;V;2
"0760350601";"1999 TK184";345.73407;8.908015;346.06656;8.939496;V;4
"0780760201";"1999 TW207";42.33431;42.2853;42.590015;42.18258;V;4
"0721010401";"2000 QD83";261.8996;-14.329945;262.20502;-14.426431;V;3
"0653040101";"2000 SD335";117.785194;17.699997;117.97756;17.673183;V;2
"0691840101";"2001 QE57";333.24768;-17.292118;333.7239;-17.101639;V;2
"0725200101";"2001 TV77";338.43335;-26.071827;339.12485;-26.005209;V;3
"0111170101";"2001 XN60";98.31695;17.806448;98.76335;17.760538;V;3
"0402070301";"2001 YN51";199.93625;-11.46188;200.1644;-11.554828;V;4
"0727761301";"2000 DJ103";284.14468;-37.85057;284.26605;-37.909054;V;2
"0129121101";"2000 YL124";62.38013;17.095951;62.473976;17.115206;V;2
"0147800201";"2003 UY256";54.726246;9.912667;55.0891;10.017666;V;2
"0111170101";"2004 RE42";98.21293;17.864588;98.70016;17.890808;V;3
"0727760201";"1998 RZ3";284.03168;-37.86924;284.42343;-37.891712;V;2
"0793183801";"1999 VR28";290.37305;-21.177652;290.58463;-21.14562;V;4
"0780690301";"2000 GU138";261.853;-14.222436;261.96393;-14.1874275;V;2
"0165971901";"2000 RG81";284.14252;-37.99597;284.25055;-37.99898;V;2
"0502120101";"2001 KO23";184.46915;5.9298196;184.91861;5.780687;V;2
"0670120301";"2001 YS53";343.56406;-17.713858;343.6106;-17.614525;V;2
"0670120401";"2001 YS53";343.64517;-17.578562;343.70834;-17.471628;V;2
"0795600101";"2001 YL104";63.30576;11.122104;63.51127;11.1330385;V;3
"0744210101";"2002 TR69";196.81451;-34.113342;198.33347;-34.446957;V;3
"0723801601";"2001 QQ240";351.22757;-12.257665;351.52362;-12.126497;V;4
"0727760101";"2002 XV50";283.84875;-38.05336;284.0095;-38.02431;V;2
"0109880101";"2001 VK74";63.200703;10.452247;63.5698;10.646243;V;3
"0691840101";"2000 QO98";333.05637;-16.963938;333.565;-16.880047;V;4
"0743950401";"2001 XL69";146.38466;10.033398;146.53546;9.975819;V;4
"0727760301";"2004 SK54";284.25864;-37.787098;284.3442;-37.72839;V;2
"0112370701";"2002 TS110";34.2341;-5.1753645;34.347527;-5.222378;V;2
"0692510101";"2007 JE28";187.83232;1.5528847;187.86937;1.5249738;V;2
"0743950301";"2004 DK29";146.52191;9.72721;146.7002;9.679677;V;2
"0302380201";"2006 MF9";207.0872;-3.830036;207.15025;-3.8814204;V;2
"0406450201";"2002 VU74";274.7761;-14.9612465;274.85062;-14.922044;V;2
"0311190101";"2004 GP44";338.78;-25.842825;339.01813;-25.779839;V;4
"0820460101";"2005 EY123";177.98827;3.9455562;178.02791;3.9280334;V;2
"0782360201";"2001 SD51";221.89606;-1.9471605;221.934;-1.981897;V;2
"0300480201";"2002 GA12";133.61812;20.104849;133.70164;20.06558;V;2
"0112650501";"2005 MC3";15.9684;-6.5380135;16.055761;-6.5397854;V;4
"0302380201";"2002 NG1";207.10272;-3.7371333;207.22029;-3.8146727;V;4
"0502050201";"2001 QY100";183.34914;14.186158;183.49872;14.094108;V;2
"0502120101";"2003 EQ27";184.58511;5.821351;184.95981;5.680864;V;3
"0502630201";"2004 DR38";133.75554;20.157026;133.87465;20.121635;V;2
"0802410101";"1996 TX50";266.87094;-28.272005;267.30646;-28.306639;V;2
"0601390401";"1998 QO81";310.8937;-10.79253;311.07224;-10.838554;V;2
"0205670101";"2001 BQ61";73.253365;-2.8586624;73.45941;-3.032147;V;2
"0411780501";"2001 DY2";329.6897;-30.209808;330.052;-30.104502;V;2
"0148560501";"2001 QE287";157.34435;5.422525;157.56668;5.3564;V;2
"0744440501";"2003 UH79";191.50655;2.4647615;191.67538;2.4859583;V;4
"0804680101";"2004 XJ106";178.7624;19.47515;179.13522;19.527155;V;3
"0670120401";"2001 WK13";343.4996;-17.612593;343.93137;-17.297836;V;2
"0748190101";"2006 UR7";28.772432;5.504958;28.968319;5.558842;V;2
"0205390201";"1998 QE72";31.773273;29.416319;31.985395;29.530197;V;2
"0691840101";"2000 UU78";333.3086;-17.088167;333.74365;-16.83655;V;3
"0203170301";"2002 PW141";187.59819;-0.01449675;188.17487;-0.02348925;V;2
"0723800101";"2003 BT61";226.18257;1.4894671;226.69426;1.5634491;V;2
"0761730501";"2001 TN34";132.40463;0.500905;132.60927;0.34632647;V;2
